date,open,high,low,close,volume
2025-07-01,205.615,209.1365,205.0901,206.77,78788866.0
2025-07-02,207.86,212.29,207.09,211.39,67941811.0
2025-07-03,211.095,213.6,210.7601,212.5,34707833.0
2025-07-07,211.63,215.18,207.75,208.9,50228959.0
2025-07-08,209.05,210.38,207.4,208.96,42848928.0
2025-07-09,208.48,210.28,206.17,210.09,48749277.0
2025-07-10,209.455,212.43,208.98,211.36,44443614.0
2025-07-11,209.515,211.08,208.81,210.11,39765734.0
2025-07-14,208.875,209.86,206.49,207.57,38840111.0
2025-07-15,208.17,210.84,207.87,208.06,42296339.0
2025-07-16,209.245,211.35,207.59,209.11,47490530.0
2025-07-17,209.52,210.75,208.54,208.97,48068141.0
2025-07-18,209.82,210.74,208.6545,210.13,48974588.0
2025-07-21,211.05,214.73,210.58,211.43,51377358.0
2025-07-22,212.09,213.9,211.1801,213.35,46403972.0
2025-07-23,213.95,214.1,211.36,213.1,46989272.0
2025-07-24,212.85,214.64,212.48,212.71,46022620.0
2025-07-25,213.65,214.19,212.35,212.83,40268686.0
2025-07-28,212.98,213.795,212.01,213.0,37857992.0
2025-07-29,213.125,213.76,209.77,210.22,51411721.0
2025-07-30,210.845,211.34,206.67,208.0,45512393.0
2025-07-31,207.44,208.79,206.11,206.52,80698392.0
2025-08-01,209.815,212.53,200.45,201.33,104434472.0
2025-08-04,203.455,206.83,200.625,202.3,75109291.0
2025-08-05,202.35,204.29,201.11,201.87,44154854.0
2025-08-06,204.58,214.33,204.54,212.2,108483103.0
2025-08-07,217.825,219.8,215.53,218.98,90224834.0
2025-08-08,219.78,229.95,218.2,228.3,113853412.0
2025-08-11,227.13,228.77,223.97,226.39,61806086.0
2025-08-12,227.215,230.01,226.28,228.86,55672299.0
2025-08-13,230.28,234.21,229.64,232.54,69878545.0
2025-08-14,233.265,234.33,230.06,231.99,51916242.0
2025-08-15,233.21,233.49,228.545,230.8,56038587.0
2025-08-18,230.91,232.33,229.32,230.1,37476149.0
2025-08-19,230.485,232.08,228.56,229.77,39402455.0
2025-08-20,229.19,229.68,224.98,225.22,42263854.0
2025-08-21,225.48,225.73,222.9904,224.11,30620838.0
2025-08-22,225.38,228.3,224.62,226.97,42477803.0
2025-08-25,225.69,228.51,225.44,226.37,30983024.0
2025-08-26,226.08,228.7,223.9,228.52,54574913.0
2025-08-27,227.82,230.11,227.47,229.7,31259478.0
2025-08-28,230.03,232.62,228.545,231.77,38074679.0
2025-08-29,231.72,232.59,230.58,231.35,39418268.0
2025-09-02,228.46,230.06,226.18,228.93,44075552.0
2025-09-03,236.42,238.06,233.57,237.68,66427742.0
2025-09-04,237.66,239.1099,235.95,238.99,47549396.0
2025-09-05,239.205,240.53,237.7001,238.9,54870397.0
2025-09-08,238.51,239.36,235.55,237.09,48999440.0
2025-09-09,236.21,237.9905,232.57,233.56,66313868.0
2025-09-10,231.395,231.63,225.16,226.0,83440810.0
2025-09-11,226.085,229.66,225.86,229.24,50207866.0
2025-09-12,228.43,233.72,228.23,233.28,55824075.0
2025-09-15,236.21,237.4,234.24,235.91,42699514.0
2025-09-16,236.385,240.43,235.5335,237.36,63421098.0
2025-09-17,238.18,239.31,236.9401,238.2,46508017.0
2025-09-18,239.18,240.41,235.86,237.09,44249563.0
2025-09-19,240.435,245.51,239.4206,244.71,163741269.0
2025-09-22,247.51,255.85,247.33,255.29,105517415.0
2025-09-23,255.085,256.55,252.79,253.64,60275126.0
2025-09-24,254.43,254.95,250.25,251.52,42303706.0
2025-09-25,252.415,256.38,250.922,256.08,55202013.0
2025-09-26,253.305,256.81,252.99,254.67,46076136.0
2025-09-29,253.77,254.21,252.22,253.64,40127520.0
2025-09-30,254.065,255.129,252.32,253.84,37703571.0
2025-10-01,254.25,258.0,254.14,254.66,48713820.0
2025-10-02,255.785,257.39,253.36,256.34,42630179.0
2025-10-03,253.875,258.45,253.16,257.23,49155614.0
2025-10-06,257.2,258.28,254.26,255.9,44664081.0
2025-10-07,256.015,256.61,254.64,255.69,31955297.0
2025-10-08,255.73,257.73,255.32,257.27,36496845.0
2025-10-09,257.015,257.21,252.35,253.25,38321900.0
2025-10-10,254.15,255.59,243.21,244.48,61999050.0
2025-10-13,248.59,248.9,244.77,246.87,38142755.0
2025-10-14,245.81,248.055,243.91,246.98,35477865.0
2025-10-15,248.695,251.03,246.68,248.55,33893577.0
2025-10-16,247.46,248.25,244.34,246.66,39776781.0
2025-10-17,247.23,252.59,246.48,251.5,49146662.0
2025-10-20,255.095,263.585,254.84,261.45,90483005.0
2025-10-21,261.09,264.5,261.04,261.98,46695671.0
2025-10-22,261.86,262.06,254.64,257.66,45015182.0
2025-10-23,259.15,259.83,257.2201,258.79,32754925.0
2025-10-24,260.4,263.34,258.39,262.03,38253714.0
2025-10-27,264.09,268.33,263.8601,268.02,44888152.0
2025-10-28,268.195,269.1,267.36,268.21,41534759.0
2025-10-29,268.485,270.62,266.32,268.91,51086687.0
2025-10-30,271.2,273.35,267.69,270.61,69886534.0
2025-10-31,276.2,276.53,268.37,269.58,86167061.0
2025-11-03,269.63,270.06,265.46,268.26,50194575.0
2025-11-04,267.535,270.696,266.825,269.25,49274846.0
2025-11-05,267.82,270.91,266.14,269.35,43682531.0
2025-11-06,267.1,272.61,267.1,268.98,51203783.0
2025-11-07,269.005,271.5,265.98,267.68,48227176.0
2025-11-10,268.43,273.2,266.925,268.9,41312151.0
2025-11-11,269.28,275.38,269.27,274.72,46208200.0
2025-11-12,274.47,275.2,271.17,272.94,48397981.0
2025-11-13,273.58,276.169,271.56,272.42,49602754.0
2025-11-14,270.52,275.43,269.07,271.88,47431331.0
2025-11-17,268.285,269.96,265.2,266.93,45018260.0
2025-11-18,269.46,270.18,264.79,266.91,45677169.0
2025-11-19,264.995,271.68,264.97,268.03,40424414.0
2025-11-20,270.3,274.9,265.39,265.72,45823540.0
2025-11-21,265.42,272.8,265.14,270.96,59030832.0
2025-11-24,270.37,276.47,270.37,275.39,65585613.0
2025-11-25,274.74,279.85,274.72,276.44,46914220.0
2025-11-26,276.43,279.0,276.1,277.02,33431421.0
2025-11-28,276.73,278.47,275.4565,278.32,19039075.0
2025-12-01,277.48,282.89,275.61,282.57,46587722.0
2025-12-02,282.47,286.87,282.1001,285.66,53669393.0
2025-12-03,285.67,288.09,282.77,283.62,43538674.0
2025-12-04,283.565,284.2,278.06,280.17,43989031.0
2025-12-05,280.01,280.61,277.52,278.25,47265691.0
2025-12-08,277.6,279.1393,275.62,277.36,38211741.0
2025-12-09,277.63,279.5,276.39,276.65,32192972.0
2025-12-10,277.22,279.22,275.91,278.25,33038011.0
2025-12-11,278.565,279.06,273.28,277.5,33247766.0
2025-12-12,277.37,278.69,276.29,277.75,39532668.0
2025-12-15,279.62,279.62,272.31,273.58,50409068.0
2025-12-16,272.29,274.97,271.26,274.08,37648627.0
2025-12-17,274.48,275.63,271.11,271.31,50138466.0
2025-12-18,273.075,273.1,266.42,271.66,51630473.0
2025-12-19,271.615,274.07,269.37,273.14,144631573.0
2025-12-22,272.33,273.35,269.975,270.44,36571827.0
2025-12-23,270.31,271.97,269.03,271.83,29641997.0
2025-12-24,271.81,274.9,271.665,273.28,17133225.0
2025-12-26,273.63,274.84,272.33,272.87,21521796.0
